set_id,year,pieces,t1,descr
40117-1,2014,28,Hero Factory,Hero Factory Villain Promo
40118-1,2014,204,LEGO Brand Store,Buildable Brick Box 2x2
401-2,1966,7,Classic,Large Wheels with Axles (The Building Toy)
40120-1,2015,114,Seasonal,Valentine&#039;s Day Dinner
4012-1,1996,99,Boat,Wave Cops
40121-1,2015,157,Seasonal,Painting Easter Eggs
40126-1,2015,55,LEGO Brand Store,Monthly Mini Model Build January 2015 - Alien
40127-1,2015,39,LEGO Brand Store,Monthly Mini Model Build February 2015 - Space Shuttle
40128-1,2015,50,LEGO Brand Store,Monthly Mini Model Build March 2015 - Robot
401-3,1964,7,Classic,Large Wheels with Axles (System)
4013-1,2003,1000,Creator,Create and Imagine
40140-1,2015,75,Creator,Flower Cart
4014-1,2003,500,Creator,Creator Exclusive
40145-1,2015,412,LEGO Brand Store,LEGO Brand Store Opening Set
40146-1,2015,65,Promotional,Lufthansa Plane
40148-1,2015,99,Creator,Lunar New Year
4015-1,1982,80,Boat,Freighter
40154-1,2015,176,Other,Pencil Holder
40158-1,2015,855,Pirates,Pirates Chess Set
4016-1,2001,21,Creator,Racer
4017-1,2001,13,Creator,Sea Helicopter
40180-1,2014,164,Modular Buildings,Bricktober Theater
4018-1,2001,12,Creator,Ship
40181-1,2014,139,Modular Buildings,Bricktober Pizza Place
40182-1,2014,175,Modular Buildings,Bricktober Fire Station
40183-1,2014,186,Modular Buildings,Bricktober Town Hall
40190-1,2014,41,Promotional,Ferrari F138
4019-1,2001,17,Creator,Aeroplane
40191-1,2014,44,Promotional,Ferrari F12 Berlinetta
40192-1,2014,46,Promotional,Ferrari 250 GTO
40193-1,2014,49,Promotional,Ferrari 512 S
40194-1,2014,63,Promotional,Finish Line &amp; Podium
40195-1,2014,79,Promotional,Shell Station
40196-1,2014,93,Promotional,Shell Tanker
4020-1,1987,206,Boat,Fire Fighting Boat
402-1,1977,401,Universal Building Set,Universal Building Set
4021-1,1991,195,Boat,Police Patrol
402-2,1964,5,Classic,White Turntables
4022-1,1996,193,Boat,C26 Sea Cutter
402-3,1966,5,Classic,White Turntables
4023-1,2003,55,Creator,Fun and Adventure
4024-1,2003,24,Seasonal,Advent Calendar 2003 Creator
4024-10,2003,13,Seasonal,Advent Calendar 2003 Creator (Day  9) Airplane
4024-11,2003,16,Seasonal,Advent Calendar 2003 Creator (Day 10) Sailboat
4024-12,2003,21,Seasonal,Advent Calendar 2003 Creator (Day 11) Snowplow
4024-13,2003,9,Seasonal,Advent Calendar 2003 Creator (Day 12) Snail
4024-14,2003,14,Seasonal,Advent Calendar 2003 Creator (Day 13) Robot
4024-15,2003,11,Seasonal,Advent Calendar 2003 Creator (Day 14) Heart
4024-16,2003,21,Seasonal,Advent Calendar 2003 Creator (Day 15) Truck
4024-17,2003,13,Seasonal,Advent Calendar 2003 Creator (Day 16) Reindeer
4024-18,2003,10,Seasonal,Advent Calendar 2003 Creator (Day 17) Bird
4024-19,2003,9,Seasonal,Advent Calendar 2003 Creator (Day 18) Present
4024-2,2003,19,Seasonal,Advent Calendar 2003 Creator (Day  1) Snowman
4024-20,2003,17,Seasonal,Advent Calendar 2003 Creator (Day 19) Fireplace
4024-21,2003,13,Seasonal,Advent Calendar 2003 Creator (Day 20) Santa
4024-22,2003,16,Seasonal,Advent Calendar 2003 Creator (Day 21) Robot
4024-23,2003,17,Seasonal,Advent Calendar 2003 Creator (Day 22) Race Car
4024-24,2003,16,Seasonal,Advent Calendar 2003 Creator (Day 23) Helicopter
4024-25,2003,13,Seasonal,Advent Calendar 2003 Creator (Day 24) Tree
4024-3,2003,9,Seasonal,Advent Calendar 2003 Creator (Day  2) Little Girl
4024-4,2003,12,Seasonal,Advent Calendar 2003 Creator (Day  3) Penguin
4024-5,2003,13,Seasonal,Advent Calendar 2003 Creator (Day  4) Sheep
4024-6,2003,9,Seasonal,Advent Calendar 2003 Creator (Day  5) Little Boy
4024-7,2003,8,Seasonal,Advent Calendar 2003 Creator (Day  6) Stocking
4024-8,2003,10,Seasonal,Advent Calendar 2003 Creator (Day  7) Spaceship
4024-9,2003,9,Seasonal,Advent Calendar 2003 Creator (Day  8) Parrot
4025-1,1982,150,Boat,Fire Boat
4026-1,2003,100,Creator,"Create Your Dreams {Canister, blue top}"
4027-1,2003,100,Creator,"Build and Imagine {canister, red top}"
4028-1,2003,500,Creator,World of Bricks {Blue Bucket}
4029-1,2003,500,Creator,Build with Bricks Bucket {Red Bucket}
4030-1,1987,323,Boat,Cargo Carrier
4031-1,1991,363,Boat,Fire Rescue
403-2,1967,12,Classic,Train Couplers and Wheels (The Building Toy)
4032-1,2003,161,Town,Passenger Plane
4032-10,2004,137,Town,Passenger Plane - Austrian Air Version
4032-11,2006,137,Town,Passenger Plane - KLM Version
4032-12,2005,137,Town,Passenger Plane - Malaysian Air Version
4032-13,2006,161,Town,Passenger Plane - Aeroflot Version
4032-2,2003,140,Town,Passenger Plane - SAS Version
4032-3,2004,137,Town,Passenger Plane - EL AL Version
4032-4,2004,139,Town,Passenger Plane - Iberia Version
4032-5,2004,137,Town,Passenger Plane - JAL Version
4032-6,2004,137,Town,Passenger Plane - Lauda Air Version
4032-7,2004,138,Town,Passenger Plane - ANA Air Version
4032-8,2005,161,Town,Passenger Plane - SWISS Version
4032-9,2004,137,Town,Passenger Plane - Snowflake Version
403-3,1966,12,Classic,Train Couplers and Wheels (System)
4037-1,2004,9,Creator,Helicopter
4038-1,2003,33,Universal Building Set,Airplane
404-1,1977,471,Universal Building Set,Universal Building Set
4042-1,2002,4,Other,"Jens, McDonald's #2"
404-3,1967,12,Classic,Wheels for Motor (The Building Toy)
404-4,1967,12,Classic,Wheels for the Motor (System)
4047-1,2003,517,Designer Sets,Ultimate Wheels (Kohl's Exclusive)
4048-1,2003,2,Designer Sets,Mech Lab (Kohl's Exclusive)
4049-1,2001,28,Studios,"Nesquik Promotional Set: Quicky the Bunny, Director, Cameraman and Car"
4051-1,2001,4,Studios,Quicky the Bunny (Nesquik Promotional)
4052-1,2001,4,Studios,Director (Nesquik Promotional)
4053-1,2001,5,Studios,Cameraman (Nesquik Promotional)
4055-1,1997,329,Freestyle,Medium Bucket
4056-1,2001,13,Studios,Color Light
4057-1,2001,10,Studios,Spot Light
4058-1,2001,4,Studios,Cameraman 1
4059-1,2001,4,Studios,Director
4060-1,2001,4,Studios,Grip
4061-1,2001,4,Studios,Assistant
4062-1,2001,4,Studios,Actress
4063-1,2001,4,Studios,Cameraman 2
4064-1,2001,4,Studios,Actor 2
4065-1,2001,4,Studios,Actor 3
4066-1,2001,4,Studios,Actor 1
4067-1,2001,15,Studios,Buggy
4068-1,2001,6,Studios,Handy Camera
4069-1,2001,4,Studios,Katinco & Megaphone
4070-1,2001,7,Studios,Stand Camera
4071-1,2001,7,Studios,Bottles
4072-1,2001,6,Studios,Skeleton
4073-1,2001,6,Studios,Tree 1
4074-1,2001,14,Studios,Tree 3
4075-1,2001,13,Studios,Tree 2
4076-1,2001,17,Studios,Pteranodon
4077-1,2001,13,Studios,Plesiosaur
4078-1,2001,18,Studios,T-Rex
4079-1,2001,4,Studios,Mini Rex
4090-1,2003,244,Inventor,Motion Madness
409-1,1965,114,Classic,38 Slimbricks Assorted Sizes (The Building Toy)
4093-1,2003,319,Inventor,Wild Windup
4094-1,2003,256,Inventor,Motor Movers
4095-1,2003,345,Inventor,Record and Play
4096-1,2003,216,Designer Sets,Micro Wheels
4097-1,2003,229,Designer Sets,Mini Robots
4098-1,2003,197,Designer Sets,High Flyers
4099-1,2003,326,Designer Sets,Robobots
41000-1,2013,28,Friends,Water Scooter Fun
4100-1,2003,293,Designer Sets,Maximum Wheels
41001-1,2013,92,Friends,Mia's Magic Tricks
41002-1,2013,92,Friends,Emma's Karate Course
41003-1,2013,85,Friends,Olivia's Newborn Foal
41004-1,2013,199,Friends,Rehearsal Stage
41005-1,2013,489,Friends,Heartlake High
41006-1,2013,267,Friends,Downtown Bakery
41007-1,2013,264,Friends,Heartlake Pet Salon
41008-1,2013,441,Friends,Heartlake City Pool
41009-1,2013,94,Friends,Andrea's Bedroom
410-1,1973,28,Legoland,Payloader
41010-1,2013,94,Friends,Olivia’s Beach Buggy
4101-1,2003,487,Designer Sets,Wild Collection
41011-1,2013,82,Friends,Stephanie's Soccer Practice
41013-1,2013,163,Friends,Emma&#39;s Sports Car
41015-1,2013,653,Friends,Dolphin Cruiser
41016-1,2013,24,Seasonal,"Advent Calender 2013, Friends"
41016-10,2013,19,Seasonal,"Advent Calendar 2013, Friends (Day  9) - Basket"
41016-11,2013,20,Seasonal,"Advent Calendar 2013, Friends (Day 10) - Friends Accessories"
41016-12,2013,3,Seasonal,"Advent Calendar 2013, Friends (Day 11) - Basket with Money"
41016-13,2013,8,Seasonal,"Advent Calendar 2013, Friends (Day 12) - Presents"
41016-14,2013,8,Seasonal,"Advent Calendar 2013, Friends (Day 13) - Sled"
41016-15,2013,6,Seasonal,"Advent Calendar 2013, Friends (Day 14) - Fountain"
41016-16,2013,11,Seasonal,"Advent Calendar 2013, Friends (Day 15) - Bench"
41016-17,2013,15,Seasonal,"Advent Calendar 2013, Friends (Day 16) - Skates with Flower in Snow"
41016-18,2013,8,Seasonal,"Advent Calendar 2013, Friends (Day 17) - Cell Phone /Music Player Docking Station"
41016-19,2013,8,Seasonal,"Advent Calendar 2013, Friends (Day 18) - Snowman"
41016-2,2013,4,Seasonal,"Advent Calendar 2013, Friends (Day  1) - Stephanie"
41016-20,2013,4,Seasonal,"Advent Calendar 2013, Friends (Day 19) - Flame"
41016-21,2013,18,Seasonal,"Advent Calendar 2013, Friends (Day 20) - Christmas Tree"
41016-22,2013,7,Seasonal,"Advent Calendar 2013, Friends (Day 21) - Musical Score"
41016-23,2013,8,Seasonal,"Advent Calendar 2013, Friends (Day 22) - Basket with Leaf"
41016-24,2013,2,Seasonal,"Advent Calendar 2013, Friends (Day 23) - Squirrel"
41016-25,2013,12,Seasonal,"Advent Calendar 2013, Friends (Day 24) - Present with Letter"
41016-3,2013,11,Seasonal,"Advent Calendar 2013, Friends (Day  2) - Snowmobile"
41016-4,2013,10,Seasonal,"Advent Calendar 2013, Friends (Day  3) - Lamp Post"
41016-5,2013,4,Seasonal,"Advent Calendar 2013, Friends (Day  4) - Lily, Christmas Outfit"
41016-6,2013,17,Seasonal,"Advent Calendar 2013, Friends (Day  5) - Stand #1"
41016-7,2013,8,Seasonal,"Advent Calendar 2013, Friends (Day  6) - Perfume Bottles"
41016-8,2013,14,Seasonal,"Advent Calendar 2013, Friends (Day  7) - Stand #2"
41016-9,2013,8,Seasonal,"Advent Calendar 2013, Friends (Day 8) - Cups, Milk and Cookies"
41017-1,2013,41,Friends,Squirrels Tree House
41018-1,2013,31,Friends,Cats Playground
41019-1,2013,33,Friends,Turtles Little Oasis
41020-1,2013,34,Friends,Hedgehog&#039;s Hideaway
41021-1,2013,46,Friends,Poodle&#039;s Little Palace
41022-1,2013,37,Friends,Bunny&#039;s Hutch
41023-1,2013,35,Friends,Fawn&#039;s Forest
41024-1,2013,32,Friends,Parrot&#039;s Perch
41025-1,2013,39,Friends,Puppy&#039;s Playhouse
41026-1,2014,236,Friends,Sunshine Harvest
41027-1,2014,114,Friends,Mia's Lemonade Stand
41028-1,2014,78,Friends,Emma's Lifeguard Post
41029-1,2014,93,Friends,Stephanie's New Born Lamb
41030-1,2014,98,Friends,Olivia's Ice Cream Bike
4103-1,2002,200,Creator,Fun with Bricks {small red bucket}
41031-1,2014,118,Friends,Andrea's Mountain Hut
4103-2,2006,204,Creator,Fun with Bricks (4293364) - with Minifigs
41032-1,2014,156,Friends,First Aid Jungle Bike
41033-1,2014,186,Friends,Jungle Falls Rescue
41034-1,2014,311,Friends,Summer Caravan
41035-1,2014,276,Friends,Heartlake Juice Bar
41036-1,2014,364,Friends,Jungle Bridge Rescue
41037-1,2014,387,Friends,Stephanie's Beach House
41038-1,2014,498,Friends,Jungle Rescue Base
41039-1,2014,752,Friends,Sunshine Ranch
41040-1,2014,24,Seasonal,Advent Calendar 2014 Friends
41040-10,2014,6,Seasonal,"Advent Calendar 2014, Friends (Day 9) - Holiday Candle"
41040-11,2014,17,Seasonal,"Advent Calendar 2014, Friends (Day 10) - Friends Kitchen Accessories"
41040-12,2014,13,Seasonal,"Advent Calendar 2014, Friends (Day 11) - Stove"
41040-13,2014,7,Seasonal,"Advent Calendar 2014, Friends (Day 12) - Sweets and Saucepan"
41040-14,2014,13,Seasonal,"Advent Calendar 2014, Friends (Day 13) - Sideboard"
41040-15,2014,12,Seasonal,"Advent Calendar 2014, Friends (Day 14) - Goblets and Food"
41040-16,2014,12,Seasonal,"Advent Calendar 2014, Friends (Day 15) - Sink"
41040-17,2014,6,Seasonal,"Advent Calendar 2014, Friends (Day 16) - Cake and Cups"
41040-18,2014,17,Seasonal,"Advent Calendar 2014, Friends (Day 17) - Holiday Fireplace"
41040-19,2014,11,Seasonal,"Advent Calendar 2014, Friends (Day 18) - End Table and Book"
41040-2,2014,4,Seasonal,"Advent Calendar 2014, Friends (Day 1) - Mia"
41040-20,2014,10,Seasonal,"Advent Calendar 2014, Friends (Day 19) - Sofa"
41040-21,2014,3,Seasonal,"Advent Calendar 2014, Friends (Day 20) - White Cat"
41040-22,2014,8,Seasonal,"Advent Calendar 2014, Friends (Day 21) - Radio and Cell Phone"
41040-23,2014,8,Seasonal,"Advent Calendar 2014, Friends (Day 22) - Large Present"
41040-24,2014,18,Seasonal,"Advent Calendar 2014, Friends (Day 23) - Christmas Tree"
41040-25,2014,17,Seasonal,"Advent Calendar 2014, Friends (Day 24) - Present with Skates, Camera"
41040-3,2014,11,Seasonal,"Advent Calendar 2014, Friends (Day 2) - Sled"
41040-4,2014,4,Seasonal,"Advent Calendar 2014, Friends (Day 3) - Gift and Basket"
41040-5,2014,4,Seasonal,"Advent Calendar 2014, Friends (Day 4) - Deer and Tree"
41040-6,2014,13,Seasonal,"Advent Calendar 2014, Friends (Day 5) - Holiday Window Scene"
41040-7,2014,4,Seasonal,"Advent Calendar 2014, Friends (Day 6) - Ewa, Christmas Outfit"
41040-8,2014,11,Seasonal,"Advent Calendar 2014, Friends (Day 7) - Table"
41040-9,2014,14,Seasonal,"Advent Calendar 2014, Friends (Day 8) - Chairs"
4104-1,2002,200,Creator,Small Creator Bucket
41041-1,2014,43,Friends,Turtle&#039;s Little Paradise
41042-1,2014,42,Friends,Tiger&#039;s Beautiful Temple
41043-1,2014,46,Friends,Penguin&#039;s Playground
41044-1,2014,39,Friends,Macaw&#039;s Fountain
41045-1,2014,37,Friends,Orangutan&#039;s Banana Tree
41046-1,2014,37,Friends,Brown Bear&#039;s River
41047-1,2014,37,Friends,Seal&#039;s Little Rock
41048-1,2014,43,Friends,Lion Cub&#039;s Savannah
41049-1,2014,47,Friends,Panda&#039;s Bamboo
41050-1,2014,77,Disney Princess,Ariel’s Amazing Treasures
4105-1,2002,500,Creator,Imagine and Build
41051-1,2014,144,Disney Princess,Merida’s Highland Games
4105-2,2005,500,Creator,50th Anniversary Bucket
41052-1,2014,249,Disney Princess,Ariel’s Magical Kiss
4105-3,2005,483,Creator,Red Bucket
41053-1,2014,274,Disney Princess,Cinderella’s Dream Carriage
41054-1,2014,297,Disney Princess,Rapunzel’s Creativity Tower
41055-1,2014,643,Disney Princess,Cinderella’s Romantic Castle
41056-1,2014,276,Friends,Heartlake News Van
41057-1,2014,373,Friends,Heartlake Horse Show
41058-1,2014,1165,Friends,Heartlake Shopping Mall
41059-1,2014,319,Friends,Jungle Tree Sanctuary
41060-1,2015,95,Disney Princess,Sleeping Beauty's Royal Bedroom
4106-1,2002,500,Creator,Large red bucket
41061-1,2015,142,Disney Princess,Jasmine's Exotic Palace
41062-1,2015,291,Disney Princess,Elsa's Sparkling Ice Castle
41063-1,2015,375,Disney Princess,Ariel's Undersea Palace
4107-1,2002,1000,Creator,Build Your Dreams
41071-1,2015,98,Elves,Aira's Creative Workshop
41072-1,2015,248,Elves,Naida's Spa Secret
41073-1,2015,311,Elves,Naida's Epic Adventure Ship
41074-1,2015,323,Elves,Azari and the Magical Bakery
41075-1,2015,511,Elves,The Elves&#039; Treetop Hideaway
41076-1,2015,178,Elves,Farran and the Crystal Hollow
4108-1,2002,2,4 Juniors,T-Junction Road Plates
41085-1,2015,200,Friends,Vet Clinic
41086-1,2015,89,Friends,Vet Ambulance
41087-1,2015,47,Friends,Bunny and Babies
41088-1,2015,65,Friends,Puppy Training
41089-1,2015,43,Friends,Little Foal
41090-1,2015,82,Friends,Olivia's Garden Pool
4109-1,2002,2,4 Juniors,Curved Road Plates
41091-1,2015,194,Friends,Mia's Roadster
41092-1,2015,87,Friends,Stephanie's Pizzeria
41093-1,2015,333,Friends,Heartlake Hair Salon
41094-1,2015,471,Friends,Heartlake Lighthouse
41095-1,2015,718,Friends,Emma&#039;s House
41097-1,2015,254,Friends,Heartlake Hot Air Balloon
41-1,1977,4,Service Packs,Train Wagon Wheels in Red
4110-1,2002,2,4 Juniors,Straight Road Plates
4111-1,2002,2,4 Juniors,Cross Road Plates
4113-1,2002,124,Creator,Brick Adventures Small Bucket
4115-1,2001,166,Creator,All That Drives Bucket
4116-1,2001,211,Creator,Animal Adventures Bucket
4117-1,2001,266,Creator,Fantastic Flyers &amp; Cool Cars Bucket
4117463-1,1997,2,Space,Cyber Saucer TRU 50 Years Forever Fun Bundle
4118-1,2001,364,Creator,"Buildings, Mansions and Shops"
4119-1,2001,234,Creator,Regular & Transparent Bricks Bucket
4120-1,2001,608,Creator,Fun and Cool Transportation
4121-1,2001,174,Creator,All Kinds of Animals / Lap Table
4122-1,2000,201,Universal Building Set,Basic Building Set
4124-1,2001,24,Seasonal,"Advent Calendar 2001, Creator"
4124-10,2001,18,Seasonal,"Advent Calendar 2001, Creator (Day  9) Space Buggy"
4124-11,2001,8,Seasonal,"Advent Calendar 2001, Creator (Day 10) Dinosaur"
4124-12,2001,10,Seasonal,"Advent Calendar 2001, Creator (Day 11) Speedboat"
4124-13,2001,10,Seasonal,"Advent Calendar 2001, Creator (Day 12) Reindeer"
4124-14,2001,15,Seasonal,"Advent Calendar 2001, Creator (Day 13) Snowman"
4124-15,2001,11,Seasonal,"Advent Calendar 2001, Creator (Day 14) Jet Ski"
4124-16,2001,10,Seasonal,"Advent Calendar 2001, Creator (Day 15) Dog"
4124-17,2001,9,Seasonal,"Advent Calendar 2001, Creator (Day 16) Police Boat"
4124-18,2001,9,Seasonal,"Advent Calendar 2001, Creator (Day 17) Whale"
4124-19,2001,10,Seasonal,"Advent Calendar 2001, Creator (Day 18) Space Shuttle"
4124-2,2001,10,Seasonal,"Advent Calendar 2001, Creator (Day  1) Cat"
4124-20,2001,9,Seasonal,"Advent Calendar 2001, Creator (Day 19) Parrot"
4124-21,2001,10,Seasonal,"Advent Calendar 2001, Creator (Day 20) Steamship"
4124-22,2001,11,Seasonal,"Advent Calendar 2001, Creator (Day 21) Church"
4124-23,2001,11,Seasonal,"Advent Calendar 2001, Creator (Day 22) Helicopter"
4124-24,2001,10,Seasonal,"Advent Calendar 2001, Creator (Day 23) Christmas Tree"
4124-25,2001,8,Seasonal,"Advent Calendar 2001, Creator (Day 24) Present"
4124-3,2001,1,Seasonal,"Advent Calendar 2001, Creator (Day  2) Max"
4124-4,2001,11,Seasonal,"Advent Calendar 2001, Creator (Day  3) Fireplace"
4124-5,2001,10,Seasonal,"Advent Calendar 2001, Creator (Day  4) Santa"
4124-6,2001,15,Seasonal,"Advent Calendar 2001, Creator (Day  5) Ambulance"
4124-7,2001,10,Seasonal,"Advent Calendar 2001, Creator (Day  6) Penguin"
4124-8,2001,1,Seasonal,"Advent Calendar 2001, Creator (Day  7) Tina"
4124-9,2001,11,Seasonal,"Advent Calendar 2001, Creator (Day  8) Frog with Hat"
4128-1,1997,657,Freestyle,XL Freestyle Bucket
4130-1,1995,37,Freestyle,Freestyle Building Set
4131-1,1995,71,Freestyle,Freestyle Building Set
4132-1,1995,122,Freestyle,Freestyle Building Set
4133-1,1995,135,Freestyle,Small Freestyle Bucket
4134-1,1995,252,Freestyle,Large Freestyle Bucket
4135-1,1996,121,Freestyle,Freestyle Garden Friends
4137-1,1997,127,Freestyle,Small Freestyle Clearpack
4139-1,1997,249,Freestyle,Freestyle Bucket
4142-1,1995,98,Freestyle,Freestyle Building Set
414-3,1966,10,Classic,"Windows Parts Pack, Red (The Building Toy)"
4143-1,1995,196,Freestyle,Freestyle Building Set
414-4,1966,10,Classic,"Windows Parts Pack, White (The Building Toy)"
4144-1,1995,142,Freestyle,Freestyle Brick Vac Bus
414-5,1966,10,Classic,"Windows Parts Pack, Red (System)"
4145-1,1995,254,Freestyle,Freestyle Playcase
414-6,1966,10,Classic,"Windows Parts Pack, White (System)"
4146-1,1995,410,Freestyle,Extra Large Freestyle Bucket
4147-1,1996,191,Freestyle,Freestyle Elefant Villa
41500-1,2014,58,Mixels,Flain
4150-1,1995,91,Freestyle,Freestyle Building Set
41501-1,2014,69,Mixels,Vulk
41502-1,2014,45,Mixels,Zorch
41503-1,2014,66,Mixels,Krader
41504-1,2014,50,Mixels,Siesmo
41505-1,2014,51,Mixels,Shuff
41506-1,2014,54,Mixels,Teslo
41507-1,2014,61,Mixels,Zaptor
41508-1,2014,70,Mixels,Volectro
41509-1,2014,61,Mixels,Slumbo
415-1,1966,27,Classic,5 Sixteens and 4 Twenties (System)
41510-1,2014,51,Mixels,Lunk
4151-1,1995,274,Freestyle,Girl's Freestyle Set
41511-1,2014,46,Mixels,Flurr
41512-1,2014,68,Mixels,Chomly
4151270-1,2000,2,Star Wars,Star Wars Co-Pack of 7121 and 7111
41513-1,2014,56,Mixels,Gobba
41514-1,2014,60,Mixels,Jawg
41515-1,2014,70,Mixels,Kraw
41516-1,2014,69,Mixels,Tentro
41517-1,2014,68,Mixels,Balk
41518-1,2014,64,Mixels,Glomp
41519-1,2014,61,Mixels,Glurt
41520-1,2014,48,Mixels,Torts
4152-1,1995,409,Freestyle,Large Freestyle Bucket
41521-1,2014,72,Mixels,Footi
41522-1,2014,70,Mixels,Scorpi
41523-1,2014,69,Mixels,Hoogi
41524-1,2014,64,Mixels,Mesmo
41525-1,2014,59,Mixels,Magnifo
41526-1,2014,70,Mixels,Wizwuz
41527-1,2015,66,Mixels,Rokit
41528-1,2015,61,Mixels,Niksput
41529-1,2015,52,Mixels,Nurp-Naut
41530-1,2015,66,Mixels,Meltus
4153-1,1995,698,Freestyle,Large Freestyle Playcase
41531-1,2015,60,Mixels,Flamzer
41532-1,2015,59,Mixels,Burnard
41533-1,2015,45,Mixels,Globert
41534-1,2015,59,Mixels,Vampos
41535-1,2015,52,Mixels,Boogly
4157-1,1997,36,Freestyle,Freestyle Trial Size
4158-1,1997,128,Freestyle,Small Freestyle Box
416-1,1966,18,Classic,4 Sixteens 2 Twenties (The Building Toy)
4161-1,1995,293,Freestyle,Girl's Freestyle Suitcase
4162-1,1995,600,Freestyle,Freestyle Multibox
4163-1,1995,350,Freestyle,Electric Freestyle Set
4164-1,2000,27,Disney's Mickey Mouse,Mickey's Fire Engine
4165-1,2000,85,Disney's Mickey Mouse,Minnie's Birthday Party
4166-1,2000,92,Disney's Mickey Mouse,Mickey's Car Garage
4167-1,2000,123,Disney's Mickey Mouse,Mickey's Mansion
4169306A-1,2005,46,Seasonal,Christmas Tree Ornament
4169306B-1,2005,36,Seasonal,Snowman Ornament
4169306C-1,2005,36,Seasonal,Santa Claus Ornament
4171-1,2001,53,Creator,Spot & Friends
4172-1,2001,44,Creator,Tina's House
417-3,1966,10,Classic,Cornerbricks (The Building Toy)
4173-1,2001,59,Creator,Max's Pitstop
417-4,1966,20,Classic,Cornerbricks (System)
4174-1,2001,173,Creator,Max Goes Flying
4175-1,2001,219,Creator,Adventures with Max & Tina
4176-1,2001,326,Creator,The Race of the Year
4177-1,2001,382,Creator,Building Stories w/NaNa Bird
4178-1,2000,107,Disney's Mickey Mouse,Mickey's Fishing Adventure
4179-1,2002,500,Creator,Large Creator Box
4181-1,2011,160,Pirates of the Caribbean,Isla De Muerta
418-2,1966,65,Classic,2 x 4 Bricks (The Building Toy)
4182-1,2011,279,Pirates of the Caribbean,The Cannibal Escape
418-3,1966,126,Classic,2 x 4 Bricks (System)
4183-1,2011,366,Pirates of the Caribbean,The Mill
4184-1,2011,808,Pirates of the Caribbean,Black Pearl
4184912-1,2002,2,Sports,Black Bus with Ball (Mannschaftsbus + Ball)
4186868-1,2002,203,Train,"Large Train Engine with Tender Black (Motorizable, sets 4534, 4535)"
4186870-1,2002,121,Train,Open Freight Wagon (White Box)
4186872-1,2002,194,Train,Passenger Wagon Green (White Box)
4186874-1,2002,170,Train,Caboose (White Box)
4186875-1,2002,47,Train,9V Platform and Mini-Figures
4186876-1,2002,192,Train,Passenger Wagon Blue (White Box)
4189224-1,2002,47,Legoland Parks,"Dragon Sculpture, Ollie, the little dragon from Castleland (Legoland Billund)"
4191-1,2011,94,Pirates of the Caribbean,The Captain’s Cabin
419-2,1966,75,Classic,2 x 3 Bricks (The Building Toy)
4192-1,2011,127,Pirates of the Caribbean,Fountain of Youth
419-3,1966,150,Classic,2 x 3 Bricks (System)
4193-1,2011,466,Pirates of the Caribbean,The London Escape
4194-1,2011,748,Pirates of the Caribbean,Whitecap Bay
4195-1,2011,1094,Pirates of the Caribbean,Queen Anne’s Revenge
4195641-1,2002,2,Star Wars,Star Wars Co-Pack of 7142 and 7152
41999-1,2013,1583,Technic,4 x 4 Crawler Exclusive Edition &quot;BOSS Crawler&quot; [Co-Creation Model]
42000-1,2013,1139,Technic,Grand Prix Racer
4200-1,2012,101,Town,Mining 4 x 4
42001-1,2013,100,Technic,Mini Off-Roader
42002-1,2013,169,Technic,Hovercraft
42004-1,2013,246,Technic,Mini Backhoe Loader
42005-1,2013,328,Technic,Monster Truck
42006-1,2013,719,Technic,Excavator
42007-1,2013,252,Technic,Moto Cross Bike
42008-1,2013,1275,Technic,Service Truck
42009-1,2013,2606,Technic,Mobile Crane MK II
420-1,1973,19,Legoland,Police Car
42010-1,2013,159,Technic,Off-Road Racer
4201-1,2012,138,Town,Loader and Tipper
42011-1,2013,157,Technic,Race Car
42020-1,2014,144,Technic,Twin Rotor Helicopter
4202-1,2012,269,Town,Mining Truck
42021-1,2014,185,Technic,Snowmobile
42022-1,2014,413,Technic,Hot Rod
42023-1,2014,832,Technic,Construction Crew
42024-1,2014,947,Technic,Container Truck
42025-1,2014,1295,Technic,Cargo Plane
42026-1,2014,137,Technic,Black Champion Racer
42027-1,2014,147,Technic,Desert Racer
42028-1,2014,614,Technic,Bulldozer
42029-1,2014,1063,Technic,Customized Pick up Truck
420-3,1966,100,Classic,2 x 2 Bricks (The Building Toy)
42030-1,2014,1634,Technic,Remote-Controlled Volvo L350F Wheel Loader
4203-1,2012,304,Town,Excavator Transporter
42031-1,2015,154,Technic,Cherry Picker
42032-1,2015,251,Technic,Compact Tracked Loader
42033-1,2015,124,Technic,Record Breaker
42034-1,2015,147,Technic,Quad Bike
42035-1,2015,361,Technic,Mining Truck
42036-1,2015,374,Technic,Street Motorcycle
42037-1,2015,493,Technic,Formula Off-Roader
42038-1,2015,912,Technic,Arctic Truck
42039-1,2015,1218,Technic,24 Hours Race Car
420-4,1966,198,Classic,2 x 2 Bricks (System)
4204-1,2012,752,Town,The Mine
42041-1,2015,607,Technic,Race Truck
4205-1,2012,388,Town,Off Road Command Center
4206-1,2006,28,Train,9V Train Switching Track Collection
4206-2,2012,284,Town,Recycling Truck
4207-1,2012,934,Town,City Garage
4207901-1,2003,4,Star Wars,Star Wars MINI Bonus Pack
4208-1,2012,242,Town,4 × 4 Fire Truck
4209-1,2012,507,Town,Fire Plane
